TransactionID;CustomerID;TransactionDate;TransactionTime;ProductCategory;ProductSubcategory;ProductDetail;TransactionValue;PaymentMethod;CustomerAge
fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c;RM-19750;15/03/2023;22:34:49;Toys & Games;Action Figures;Marvel Legends Series Iron Man;566.67;Debit Card;80
72b8ff39-a32c-4b6f-b91c-f0463d4a5d51;TP-21565;5/05/2023;8:22:16;Toys & Games;Action Figures;Marvel Legends Series Iron Man;628.73;PayPal;63
0bf9c0ef-b581-4b74-a985-ab61c5adf681;MV-17485;21/11/2023;20:58:11;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;419.13;Bank Transfer;46
2da44da1-89b5-4368-9f14-c6125f58d5b5;BF-11275;5/12/2023;23:50:20;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;749.63;Bank Transfer;42
064f768d-b080-4003-9e7f-503c4b1347f6;EB-14170;6/01/2023;14:01:43;Toys & Games;Action Figures;Marvel Legends Series Iron Man;326.16;PayPal;77
889c8ae2-4e3c-4f2d-8332-559dcad00273;GR-14560;24/02/2023;0:31:43;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;592.41;Bank Transfer;37
104dff66-23f1-467e-81d3-4690a795ac54;CC-12550;14/08/2023;0:30:28;Toys & Games;Action Figures;Transformers Generations War for Cybertron;155.21;Bank Transfer;45
339d78f5-d658-41b3-b012-ae1c5882e3bb;AS-10285;12/02/2024;12:36:20;Toys & Games;Action Figures;Transformers Generations War for Cybertron;233.62;Bank Transfer;68
3dbba3af-14db-4d22-95ea-e9d21e3d59d0;KW-16570;8/12/2023;22:59:53;Toys & Games;Action Figures;Transformers Generations War for Cybertron;425.6;PayPal;60
9c2e5562-4916-4844-a64d-dd918e9b185e;JF-15355;25/03/2023;12:13:24;Toys & Games;Action Figures;Transformers Generations War for Cybertron;891.45;Credit Card;56
9501e917-496d-427b-baf2-f402a0e624f1;MH-17785;17/10/2023;17:34:11;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;595.7;Debit Card;70
9bc69882-5a7c-431a-a275-9469c28d2ad5;FC-14245;1/07/2023;1:57:56;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;393.41;Bank Transfer;43
032f594d-0b82-461c-bdd0-c8660649def5;ME-18010;17/02/2023;16:22:28;Toys & Games;Action Figures;Marvel Legends Series Iron Man;889.2;Debit Card;80
a02a1b21-a2a7-40fc-8683-ad336f844392;AH-10030;28/10/2023;9:44:16;Toys & Games;Action Figures;Marvel Legends Series Iron Man;534.17;PayPal;20
53ff6644-4741-4e56-b5e2-834d907d8532;MA-17560;9/04/2023;0:16:41;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;401.95;Bank Transfer;51
74279656-07db-44e0-ae40-25346987b052;TS-21655;19/12/2023;11:15:15;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;786.86;Credit Card;30
2734f9bb-c740-4255-a5cf-51c49c899296;AJ-10945;21/03/2024;4:38:10;Toys & Games;Action Figures;Marvel Legends Series Iron Man;304.61;Debit Card;73
338f8437-faa2-4bad-867a-6bdfb63c1dd8;SW-20245;10/05/2023;11:43:38;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;381.15;Credit Card;42
68bfbf7e-d4dc-4301-882a-b92580b2db0c;BD-11560;19/11/2023;22:16:01;Toys & Games;Action Figures;Transformers Generations War for Cybertron;838.28;Credit Card;51
2ec012f0-d310-4ac5-9932-263c4eec95b0;LC-16870;4/03/2023;8:38:59;Toys & Games;Action Figures;Transformers Generations War for Cybertron;137.33;PayPal;38
14b8317e-7555-4ded-8ea5-e386d8ce8d9a;HP-14815;8/05/2023;0:31:57;Toys & Games;Action Figures;Transformers Generations War for Cybertron;854.7;Debit Card;79
835875c3-9520-49e4-a8fc-f210dac15a07;KC-16675;14/01/2023;8:07:09;Toys & Games;Action Figures;Transformers Generations War for Cybertron;265.59;Debit Card;61
970a06dc-f444-4dae-9d21-ae7c60252b8d;LC-16870;17/05/2023;3:10:15;Toys & Games;Action Figures;Marvel Legends Series Iron Man;994.1;Credit Card;38
69f82b8b-7dd5-497e-886d-996c22057b91;EM-14200;4/03/2024;5:36:06;Toys & Games;Action Figures;Marvel Legends Series Iron Man;835.21;Debit Card;57
c4fa5577-663e-4868-8c9b-d78e5a456f86;NG-18355;8/07/2023;16:17:00;Toys & Games;Action Figures;Transformers Generations War for Cybertron;909.45;PayPal;73
be98e6d2-0bf2-41da-830e-055ceb76dbed;SW-20245;4/05/2023;13:42:39;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;571.9;Bank Transfer;42
f9d7d79d-fd0b-4d3b-a7d8-baef3a0aff49;LM-17065;27/07/2023;4:20:38;Toys & Games;Action Figures;Transformers Generations War for Cybertron;244.37;Debit Card;64
4d01cc36-0091-4b3d-918b-55fde8968a9f;PT-19090;3/05/2023;0:44:17;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;529.58;PayPal;43
8e383437-6a1c-4817-8584-d26cf7243a0c;SC-20020;29/01/2023;16:15:04;Toys & Games;Action Figures;Transformers Generations War for Cybertron;469.33;Bank Transfer;61
1983fc5a-94a2-484d-93a3-653714f3578d;RM-19375;7/08/2023;4:39:55;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;403.43;Bank Transfer;58
234131e2-5dce-4477-89e1-893ec3fb3743;EM-14095;11/01/2023;18:23:26;Toys & Games;Action Figures;Marvel Legends Series Iron Man;306.95;Credit Card;71
ef1772f4-100c-4e80-a132-3c2481b377bd;AT-10735;30/09/2023;10:37:14;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;761.99;Debit Card;75
c2c49a97-2e6f-4665-9776-da51f8c03d19;DM-13015;26/05/2023;8:17:53;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;583.35;Credit Card;60
2aad0659-00ac-417a-9d82-ab3e28685bdd;AG-10300;9/01/2023;19:44:00;Toys & Games;Action Figures;Marvel Legends Series Iron Man;490.12;Bank Transfer;52
0399a6c0-653d-4b24-b32d-6cfea681dd8c;WB-21850;18/12/2023;13:52:26;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;889.07;Credit Card;31
180f7232-79cb-46d2-8251-bdb2776adad8;AR-10540;19/12/2023;19:42:29;Toys & Games;Action Figures;Transformers Generations War for Cybertron;812.86;Debit Card;68
de8d4a69-44a0-4ecb-9fb2-e686cbee3f1d;PL-18925;18/10/2023;19:57:37;Toys & Games;Action Figures;Transformers Generations War for Cybertron;902.99;Bank Transfer;67
f57476f9-7342-42c2-9c13-da676ed2a4ac;BM-11785;15/02/2023;11:10:02;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;871.7;Debit Card;43
2c7ff2ed-04ae-4e3e-b0c5-380244744ac6;MW-18220;1/04/2023;19:51:01;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;160.17;Bank Transfer;25
28986430-fabd-4787-bd5a-95ecc315c8b0;RO-19780;6/12/2023;13:28:00;Toys & Games;Action Figures;Transformers Generations War for Cybertron;545.56;PayPal;48
8e3f4eae-19b5-424c-aee2-a362cccbcb6e;ML-18265;22/07/2023;13:59:09;Toys & Games;Action Figures;Transformers Generations War for Cybertron;719.05;Credit Card;66
bd247b2b-6d75-472e-927f-3113f7a8992f;MD-17350;13/08/2023;13:36:57;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;169.48;Credit Card;79
033f5e5c-5115-48a2-97ac-1b6636feebec;GH-14485;13/10/2023;19:52:31;Toys & Games;Action Figures;Marvel Legends Series Iron Man;789.13;PayPal;54
63bf8948-ba7b-44f2-9b1e-40caecbac14d;GZ-14545;28/01/2024;2:38:28;Toys & Games;Action Figures;Transformers Generations War for Cybertron;20.89;Debit Card;57
c6347400-0666-41f6-b853-380aba006c2a;MF-18250;30/03/2024;6:36:43;Toys & Games;Action Figures;Marvel Legends Series Iron Man;220.58;PayPal;31
fa2c0066-1af7-4cb8-be7b-b18f8f13c71b;JF-15295;5/03/2024;8:09:10;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;826.1;PayPal;68
1e7c6252-291b-41a7-a0b7-7fae29466b49;BP-11230;17/01/2023;16:55:12;Toys & Games;Action Figures;Transformers Generations War for Cybertron;558.38;Credit Card;40
12a1ae41-2f27-4e32-9589-6e6cd5708e7b;JP-16135;23/09/2023;15:32:48;Toys & Games;Action Figures;Star Wars Black Series Darth Vader;377.01;Bank Transfer;80
22e87c8d-25b0-4e48-9ca1-efa703b8bbaa;KF-16285;18/01/2024;19:16:05;Toys & Games;Action Figures;Marvel Legends Series Iron Man;967.92;Credit Card;50
4f462933-7b28-46ba-86c6-e268597b322c;MO-17500;22/09/2023;18:24:26;Toys & Games;Action Figures;Marvel Legends Series Iron Man;785.14;Credit Card;25
a8888536-1a69-4238-8f48-4ea414430464;DL-12865;19/01/2023;14:33:58;Toys & Games;Action Figures;Marvel Legends Series Iron Man;914.96;Credit Card;42
54be66c7-6f37-42ac-a1fa-b06aa2d7438e;MA-17560;16/08/2023;13:53:37;Toys & Games;Action Figures;Marvel Legends Series Iron Man;347.71;Debit Card;51
4b44b4f9-0c72-43c7-bebd-77781327c661;CJ-12010;10/02/2023;4:34:25;Toys & Games;Action Figures;Marvel Legends Series Iron Man;724.87;Debit Card;50
