Detalle Orden, Numero Orden, Producto ID, Linea Total, Cantidad, Descuento, Precio Unitario, Ganancia
1,CA-2016-152156,13,261.96,2,0,130.98,41.9136
2,CA-2016-152156,56,731.94,3,0,243.98,219.582
3,CA-2016-138688,947,14.62,2,0,7.31,6.8714
4,US-2015-108966,320,957.5775,5,0.45,348.21,-383.031
5,US-2015-108966,1317,22.368,2,0.2,13.98,2.5164
6,CA-2014-115812,186,48.86,7,0,6.98,14.1694
7,CA-2014-115812,563,7.28,4,0,1.82,1.9656
8,CA-2014-115812,1762,907.152,6,0.2,188.99,90.7152
9,CA-2014-115812,795,18.504,3,0.2,7.71,5.7825
10,CA-2014-115812,438,114.9,5,0,22.98,34.47
11,CA-2014-115812,329,1706.184,9,0.2,236.97,85.3092
12,CA-2014-115812,1751,911.424,4,0.2,284.82,68.3568
13,CA-2017-114412,1168,15.552,3,0.2,6.48,5.4432
14,CA-2016-161389,782,407.976,3,0.2,169.99,132.5922
15,US-2015-118983,422,68.81,5,0.8,68.81,-123.858
16,US-2015-118983,664,2.544,3,0.8,4.24,-3.816
17,CA-2014-105893,1409,665.88,6,0,110.98,13.3176
18,CA-2014-167164,1295,55.5,2,0,27.75,9.99
19,CA-2014-143336,568,8.56,2,0,4.28,2.4824
20,CA-2014-143336,1750,213.48,3,0.2,88.95,16.011
21,CA-2014-143336,731,22.72,4,0.2,7.1,7.384
22,CA-2016-137330,478,19.46,7,0,2.78,5.0596
23,CA-2016-137330,409,60.34,7,0,8.62,15.6884
24,US-2017-156909,96,71.372,2,0.3,50.98,-1.0196
25,CA-2015-106320,320,1044.63,3,0,348.21,240.2649
26,CA-2016-121755,703,11.648,2,0.2,7.28,4.2224
27,CA-2016-121755,1547,90.57,3,0,30.19,11.7741
28,US-2015-150630,49,3083.43,7,0.5,880.98,-1665.0522
29,US-2015-150630,656,9.618,2,0.7,16.03,-7.0532
30,US-2015-150630,311,124.2,3,0.2,51.75,15.525
31,US-2015-150630,861,3.264,2,0.2,2.04,1.1016
32,US-2015-150630,611,86.304,6,0.2,17.98,9.7092
33,US-2015-150630,696,6.858,6,0.7,3.81,-5.715
34,US-2015-150630,527,15.76,2,0.2,9.85,3.546
35,CA-2017-107727,1035,29.472,3,0.2,12.28,9.9468
36,CA-2016-117590,1862,1097.544,7,0.2,195.99,123.4737
37,CA-2016-117590,266,190.92,5,0.6,95.46,-147.963
38,CA-2015-117415,876,113.328,9,0.2,15.74,35.415
39,CA-2015-117415,21,532.3992,3,0.32,260.98,-46.9764
40,CA-2015-117415,121,212.058,3,0.3,100.98,-15.147
41,CA-2015-117415,1697,371.168,4,0.2,115.99,41.7564
42,CA-2017-120999,1831,147.168,4,0.2,45.99,16.5564
43,CA-2016-101343,1395,77.88,2,0,38.94,3.894
44,CA-2017-139619,1388,95.616,2,0.2,59.76,9.5616
45,CA-2016-118255,1463,45.98,2,0,22.99,19.7714
46,CA-2016-118255,768,17.46,2,0,8.73,8.2062
47,CA-2014-146703,1353,211.96,4,0,52.99,8.4784
48,CA-2016-169194,1521,45,3,0,15,4.95
49,CA-2016-169194,1826,21.8,2,0,10.9,6.104
50,CA-2015-115742,823,38.22,6,0,6.37,17.9634
51,CA-2015-115742,981,75.18,6,0,12.53,35.3346
52,CA-2015-115742,193,6.16,2,0,3.08,2.9568
53,CA-2015-115742,101,89.99,1,0,89.99,17.0981
54,CA-2016-105816,905,15.26,7,0,2.18,6.2566
55,CA-2016-105816,1770,1029.95,5,0,205.99,298.6855
56,CA-2016-111682,1307,208.56,6,0,34.76,52.14
57,CA-2016-111682,1111,32.4,5,0,6.48,15.552
58,CA-2016-111682,116,319.41,5,0.1,70.98,7.098
59,CA-2016-111682,1062,14.56,2,0,7.28,6.9888
60,CA-2016-111682,1521,30,2,0,15,3.3
61,CA-2016-111682,693,48.48,4,0.2,15.15,16.362
62,CA-2016-111682,532,1.68,1,0,1.68,0.84
63,CA-2015-135545,1589,13.98,2,0,6.99,6.1512
64,CA-2015-135545,678,25.824,6,0.2,5.38,9.3612
65,CA-2015-135545,1238,146.73,3,0,48.91,68.9631
66,CA-2015-135545,154,79.76,4,0,19.94,22.3328
67,US-2015-164175,66,213.115,5,0.3,60.89,-15.2225
68,CA-2014-106376,558,1113.024,8,0.2,173.91,111.3024
69,CA-2014-106376,1786,167.968,4,0.2,52.49,62.988
70,CA-2016-119823,1051,75.88,2,0,37.94,35.6636
71,CA-2016-106075,833,4.616,1,0.2,5.77,1.731
72,CA-2017-114440,1277,19.05,3,0,6.35,8.763
73,US-2015-134026,57,831.936,8,0.2,129.99,-114.3912
74,US-2015-134026,268,97.04,2,0.2,60.65,1.213
75,US-2015-134026,1407,72.784,1,0.2,90.98,-18.196
76,US-2017-118038,810,1.248,3,0.8,2.08,-1.9344
77,US-2017-118038,148,9.708,3,0.6,8.09,-5.8248
78,US-2017-118038,1308,27.24,3,0.2,11.35,2.724
79,US-2014-147606,251,19.3,5,0.6,9.65,-14.475
80,CA-2016-127208,417,208.16,1,0,208.16,56.2032
81,CA-2016-127208,733,16.74,3,0,5.58,8.0352
82,CA-2014-139451,543,14.9,5,0,2.98,4.172
83,CA-2014-139451,1369,21.39,1,0,21.39,6.2031
84,CA-2015-149734,851,200.984,7,0.2,35.89,62.8075
85,US-2017-119662,1399,230.376,3,0.2,95.99,-48.9549
86,CA-2017-140088,64,301.96,2,0,150.98,33.2156
87,CA-2017-155558,1514,19.99,1,0,19.99,6.7966
88,CA-2017-155558,946,6.16,2,0,3.08,2.9568
89,CA-2016-159695,1392,158.368,7,0.2,28.28,13.8572
90,CA-2016-109806,633,20.1,3,0,6.7,6.633
91,CA-2016-109806,1831,73.584,2,0.2,45.99,8.2782
92,CA-2016-109806,1039,6.48,1,0,6.48,3.1104
93,CA-2015-149587,1208,12.96,2,0,6.48,6.2208
94,CA-2015-149587,273,53.34,3,0,17.78,16.5354
95,CA-2015-149587,753,32.96,2,0,16.48,16.1504
96,US-2017-109484,837,5.682,1,0.7,18.94,-3.788
97,CA-2017-161018,160,96.53,7,0,13.79,40.5426
98,CA-2017-157833,709,51.312,3,0.2,21.38,17.9592
99,CA-2016-149223,386,77.88,6,0,12.98,22.5852
100,CA-2016-158568,1211,64.624,7,0.2,11.54,22.6184
101,CA-2016-158568,1507,95.976,3,0.2,39.99,-10.7973
102,CA-2016-158568,744,1.788,3,0.8,2.98,-3.0396
103,CA-2016-129903,1247,23.92,4,0,5.98,11.7208
104,US-2015-156867,1501,238.896,6,0.2,49.77,-26.8758
105,US-2015-156867,284,102.36,3,0.2,42.65,-3.8385
106,US-2015-156867,748,36.882,3,0.7,40.98,-25.8174
107,CA-2017-119004,1563,74.112,8,0.2,11.58,17.6016
108,CA-2017-119004,1792,27.992,1,0.2,34.99,2.0994
109,CA-2017-119004,483,3.304,1,0.2,4.13,1.0738
110,CA-2015-129476,1478,339.96,5,0.2,84.99,67.992
111,CA-2017-146780,203,41.96,2,0,20.98,10.9096
112,CA-2016-128867,482,75.96,2,0,37.98,22.788
113,CA-2016-128867,798,27.24,6,0,4.54,13.3476
114,CA-2014-115259,909,40.096,14,0.2,3.58,14.5348
115,CA-2014-115259,872,4.72,2,0.2,2.95,1.652
116,CA-2014-115259,1286,23.976,3,0.2,9.99,7.4925
117,CA-2014-115259,870,130.464,6,0.2,27.18,44.0316
118,CA-2015-110457,333,787.53,3,0,262.51,165.3813
119,US-2015-136476,780,157.794,1,0.7,525.98,-115.7156
120,CA-2016-103730,215,47.04,3,0,15.68,18.3456
121,CA-2016-103730,795,30.84,4,0,7.71,13.878
122,CA-2016-103730,1318,226.56,6,0,37.76,63.4368
123,CA-2016-103730,869,115.02,9,0,12.78,51.759
124,CA-2016-103730,1822,68.04,7,0,9.72,19.7316
125,US-2014-152030,119,600.558,3,0.3,285.98,-8.5794
126,US-2014-134614,370,617.7,6,0.5,205.9,-407.682
127,US-2017-107272,767,2.388,2,0.7,3.98,-1.8308
128,US-2017-107272,1383,243.992,7,0.2,43.57,30.499
129,US-2016-125969,66,81.424,2,0.2,50.89,-9.1602
130,US-2016-125969,271,238.56,3,0,79.52,26.2416
131,US-2017-164147,1763,59.97,5,0.4,19.99,-11.994
132,US-2017-164147,1169,78.304,2,0.2,48.94,29.364
133,US-2017-164147,926,21.456,9,0.2,2.98,6.9732
134,CA-2016-145583,1130,20.04,3,0,6.68,9.6192
135,CA-2016-145583,1122,35.44,1,0,35.44,16.6568
136,CA-2016-145583,507,11.52,4,0,2.88,3.456
137,CA-2016-145583,930,4.02,2,0,2.01,1.9698
138,CA-2016-145583,838,76.176,3,0.2,31.74,26.6616
139,CA-2016-145583,1431,65.88,6,0,10.98,18.4464
140,CA-2016-145583,193,43.12,14,0,3.08,20.6976
141,CA-2016-110366,311,82.8,2,0.2,51.75,10.35
