Producto ID;Numero Producto;Producto Sub Categoria ID;Nombre Producto
1;KAC79;A18;Various accessories
2;XOY;A1;Edible oil
3;FIX349;A13;Baby oil
4;KIV8128;A2;Olives
5;XOP609;A14;Muriatic acid
6;XEB58114;A1;Dressings
7;PAL945;A8;Long-grain rice- parboiled- WKB
8;XOK8175;A8;Long-grain rice- not parboiled- WKB
9;ZOT;A12;Long-grain rice- not parboiled- BL
10;GEH8165;A8;Long-grain rice- parboiled- in cooking bags- WKB
11;MEY13367;A7;Round-grain rice- WKB
12;SUV167;A6;Basmati rice- WKB
13;KUF5;A12;Wheat flour- WKB
14;MAW28127;A13;Wheat flour- BL
15;PEK;A1;Wheat semolina- WKB
16;DOT0481;A1;Flaked oats for cooking- WKB
17;VEX;A14;Cornflakes- SB
18;36220;A12;Cornflakes- WKB
19;BUZ;A9;Cornflakes- BL
20;DAB;A12;Breakfast cereal- SB
21;NAJ16450;A12;Muesli- crunchy- WKB
22;BAD7;A17;Muesli- WKB
23;WIS;A14;Maize starch- WKB
24;YAW5;A17;Potato starch- WKB
25;VUQ4815;A19;Baguette
26;RAD;A1;Roll
27;TOS24806;A2;Roll- multicorn
28;POF0522;A1;Bread- white- small loaf
29;FUB5;A1;Bread- white- large loaf
30;PEP969;A4;Bread- white- industrially packed- WKB
31;NEY7;A20;Bread- white- toast- small pack- WKB
32;DOZ7;A8;Bread- white- toast- large pack- WKB
33;SUV;A8;Bread- whole meal- wheat
34;HAL;A8;Bread- whole meal- wheat- toast- WKB
35;LEW4302;A8;Bread- whole meal- rye- WKB
36;GEM75;A9;Bread- mixed
37;FAF84598;A13;Bread- multicorn
38;JIM08632;A19;Bread- multicorn- industrially packed- WKB
39;FIP1295;A4;Bread- rye- industrially packed- WKB
40;QIY519;A9;Rye portion bread- industrially packed- WKB
41;FUS0;A4;Breadcrumbs- WKB
42;FUK557;A1;Pita bread- industrially packed- WKB
43;BEB592;A20;Biscuits- with butter- WKB
44;LEY;A1;Biscuits- sweet- WKB
45;ZUH9004;A24;Biscuits- chocolate chip cookies- WKB
46;TEP;A5;Biscuits- chocolate chip cookies- BL
47;HAW0211;A11;Biscuits- sandwich cream- WKB
48;WIM;A11;Biscuits- wafers- WKB
49;LIF437;A28;Biscuits- salted crackers- SB
50;REY8;A22;Biscuits- salted crackers- WKB
51;Julian;A22;Biscuits- cream crackers- WKB
52;MIH1;A1;Croissant
53;SOF18044;A7;Doughnut
54;KUK6;A13;Wheat tortillas- WKB
55;YIP;A16;Rusks- WKB
56;SEM31277;A14;Crispbread- Swedish type- SB
57;TOB180;A14;Puff pastry- frozen- WKB
58;ROF44;A1;Pizza- frozen- SB
59;XEK065;A14;Pizza- frozen- WKB
60;SAL;A9;Spaghetti- SB
61;PIM7;A2;Spaghetti- WKB
62;JAY036;A2;Spaghetti- BL
(null);MUT80;A2;Pasta- without eggs- WKB
63;FEX241;A1;Pasta- without eggs- BL
64;RUC20;A6;Pasta- with eggs- WKB
65;RED;A2;Fresh tortellini or ravioli- WKB
66;QEJ;A2;Noodles- instant- portion pack- WKB
67;MAS35685;A5;Vermicelli (Angel Hair)- BL
68;KAS91;A5;Beef- fillet- tenderloin (H2)
69;ZAH;A5;Beef- rumpsteak (H3)
70;QAL;A11;Beef- center brisket (B2)
71;KAB3;A7;Beef- center brisket- with bones (B2)
72;KAD51612;A16;Beef- Silverside (F2a)
73;JUW73;A14;Beef- Sirloin steak (H1)
74;TIN621;A14;Beef- shreds or dices (H3- F)
75;TEK8;75;Beef- minced
76;CEJ;A18;Beef/pork- minced
77;JUJ52;A18;Veal- breast (D1)- with bones
78;ZAP0783;A1;Veal- schnitzel/escalope (A5)
79;FAJ19669;A9;Veal- loin (B2)
80;CEH7;A13;Pork- fillet- tenderloin (B)
81;WER;A3;Pork- schnitzel/escalope (A)
82;XEQ;A13;Pork- loin chop (B2)
83;FEW43;A1;Pork- belly (C)
84;WIG9926;A13;Pork- ribs (C)
85;QAB369;A1;Pork- shreds or dices (A)
86;HEG233;A16;Pork- joint piece for roasting (A)
87;RAY72;A13;Lamb- hind leg (hindquarters A)
88;XAF52;A14;Lamb- middle loin chops (B1)
89;WIW;A13;Chicken- for roasting
90;KUP65859;A14;Chicken- for roasting- free range
91;ZAY;A14;Chicken- for roasting- frozen
92;QAG;A18;Chicken breast- fillets
93;NOC320;A5;Chicken breast- fillets- shreds or dices
94;VIX808;A8;Chicken legs- whole leg incl. thigh and drumstick
95;KIK;A19;Chicken liver
96;QOG0;A13;Turkey breast- fillet
97;JIR2;A2;Bacon- sold loose
98;YAP22;A16;Bacon- industrially packed- WKB
99;JUV06;A17;Sausage- Frankfurter/Wiener- natural skin- WKB
100;NED4;A1;Sausage- Frankfurter/Wiener- WKB
101;SUF5;A16;Sausage- Frankfurter/Wiener- pork meat- WKB
102;POM78;A14;Sausage- Frankfurter/Wiener type- poultry meat- WKB
103;SOZ4;A1;Sausage- fresh and raw- sold loose
104;VUK8584;A16;Sausage- fresh and raw- WKB
105;36831;A1;Sausage- mortadella type- sold loose
106;DUP878;A2;Cooked pork sausage- country typical variety- sold loose
